section,key,english,malayalam,notes
# === META & WORKSHOP ===,,,,
meta,meta.title,One Health · NNHC,വൺ ഹെൽത്ത് · NNHC,"Page title; keep ""NNHC"" untranslated"
meta,meta.tagline,"Care delivered closer to home, supported by the neighbourhood that surrounds it.","വീടിനടുത്ത് പരിചരണം നൽകുന്നു, ചുറ്റുമുള്ള അയൽപക്കത്തിന്റെ പിന്തുണയോടെ.",
meta,meta.convenedBy,IMA Cochin,ഐഎംഎ കൊച്ചിൻ,Keep as proper noun
meta,meta.venue,"IMA House, Cochin","ഐഎംഎ ഹൗസ്, കൊച്ചി",Keep proper nouns
meta,meta.status,Vision endorsed at the Visioning Workshop,വിഷനിംഗ് വർക്ക്‌ഷോപ്പിൽ ദർശനം അംഗീകരിച്ചു,
meta,meta.workshopLabel,Visioning Workshop,വിഷനിംഗ് വർക്ക്‌ഷോപ്പ്,Used in nav pill + footer
# === NAV ROUTES ===,,,,
nav,nav.model,Vision & Model,ദർശനവും മാതൃകയും,
nav,nav.mission,Mission,ദൗത്യം,
nav,nav.roadmap,Roadmap,റോഡ്മാപ്പ്,
nav,nav.voices,Voices,ശബ്ദങ്ങൾ,
nav,nav.engage,Engage,ഇടപെടുക,
nav,nav.about,About,കുറിച്ച്,
nav,nav.contact,Contact,ബന്ധപ്പെടുക,Primary CTA in nav
nav,nav.engageCta,Engage with NNHC,എൻ‌എൻ‌എച്ച്‌സിയുമായി ഇടപഴകുക,Mobile menu primary CTA
nav,nav.contactUs,Contact us,ഞങ്ങളെ സമീപിക്കുക,Mobile + footer secondary CTA
nav,nav.brandSubtitle,Neighbourhood Network in Health Care,ആരോഗ്യ പരിപാലനത്തിലെ അയൽപക്ക ശൃംഖല,Subtitle next to logo on desktop
nav,nav.openMenu,Open menu,മെനു തുറക്കുക,Mobile menu aria-label
nav,nav.closeMenu,Close menu,മെനു അടയ്ക്കുക,Mobile menu aria-label
nav,nav.skipToContent,Skip to content,ഉള്ളടക്കത്തിലേക്ക് പോകുക,Accessibility skip link
nav,nav.language,Language,ഭാഷ,Mobile menu language section heading
# === FOOTER ===,,,,
footer,footer.colophon,Colophon,കൊളോഫോൺ,
footer,footer.tagline,A foundational step toward a community-driven healthcare system.,സമൂഹം നയിക്കുന്ന ആരോഗ്യ സംരക്ഷണ സംവിധാനത്തിലേക്കുള്ള ഒരു അടിസ്ഥാന ചുവടുവയ്പ്പ്.,"Italicise ""community-driven"""
footer,footer.sectionsHeading,Sections,വിഭാഗങ്ങൾ,
footer,footer.moreHeading,More,കൂടുതൽ,
footer,footer.aboutFaq,About + FAQ,+ പതിവുചോദ്യങ്ങളെക്കുറിച്ച്,Link label
footer,footer.metaConvened,Convened,വിളിച്ചുകൂട്ടി,"Label for ""IMA Cochin"""
